ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
10434,A1,"IAM 14895, DSM 16848, ATCC 15532, CCUG 3710, CIP 103342, LMG 6455, NCTC 10282, JCM 21385",1,Alysiella filiformis,1120981.14,microaerophile
,,,,,1120981.15,
,,,,,1120981.16,
,,,,,1120981.3,
,,,,,194196.9,
,,,,,2574179727,
,,,,,GCA_014054525,
,,,,,GCA_020162295,
,,,,,GCA_900230205,
3755,2CP-1,"DSM 21875, ATCC BAA-258",1,Anaeromyxobacter dehalogenans,455488.5,microaerophile
,,,,,643348507,
,,,,,GCA_000022145,
3757,2CP-C,"DSM 21877, ATCC BAA-259",0,Anaeromyxobacter dehalogenans,290397.18,microaerophile
,,,,,637000007,
,,,,,GCA_000013385,
11401,"R-12870, B-1599","DSM 18919, CIP 108308, KCTC 13001, LMG 22483, Logan B-1599",1,Aneurinibacillus terranovensis,1121002.4,microaerophile
,,,,,2524614808,
,,,,,GCA_000430625,
140874,wkB301,"NRRL B-65307, NCIMB 14986",1,Apibacter adventoris,2832372155,microaerophile
,,,,,GCA_002964975,
130368,Fhon13N,"DSM 26257, CCUG 63287, JCM 30765",1,Apilactobacillus apinorum,GCA_001281175,microaerophile
6699,Mizu2-1,"DSM 23829, JCM 17196, LMG 29536",1,Apilactobacillus ozensis,1423781.3,microaerophile
,,,,,1423781.4,
,,,,,2660238120,
,,,,,2675903667,
,,,,,GCA_001311485,
,,,,,GCA_001435995,
10435,,"DSM 68, ATCC 12638, CCUG 2092, NCTC 10593, LMG 3734, NRRL B-2045, CIP 63.19, JCM 20995, IAM 13944, IFO 14924, NBRC 14924, NCIMB 8658, NRRL: B-2045",1,Aquaspirillum serpens,GCA_000420525,microaerophile
3246,SGT-39,"DSM 16500, CIP 107650, LMG 21647, CCUG 48880",1,Aquicella lusitana,254246.3,microaerophile
,,,,,254246.4,
,,,,,2756170232,
,,,,,GCA_003350455,
,,,,,GCA_902459475,
3247,SGT-108,"CCUG 48881, DSM 17428, CIP 107651, LMG 21648",1,Aquicella siphonis,254247.3,microaerophile
,,,,,GCA_902459485,
12653,699,"DSM 43307, ATCC 14157, CIP 110010, CCUG 4939, LMG 16729, ATCC 13682, JCM 5830, CIP 101941, IFO 14587, IMET 10974, LMG 19873, NBRC 14587, NCTC 12967, PCM 2431, VKM Ac-1449, VPI 0026, NBRC 4587",1,Arachnia propionica,1218109.3,microaerophile
,,,,,1750.7,
,,,,,2731957689,
,,,,,GCA_001592325,
,,,,,GCA_900637725,
204,P6775,"DSM 25104, CCM 7958, CCUG 61573, CIP 110339",1,Arcanobacterium canis,GCA_029625435,microaerophile
137157,53/W/1,"CIP 81.16, NCTC 9697, CCUG 17214",0,Arcanobacterium haemolyticum,2808606756,microaerophile
,,,,,28264.11,
,,,,,GCA_900445275,
203,"M401624/00/2, 001127, M 601624/00/2","DSM 15539, CCUG 44697, CIP 106850",1,Arcanobacterium hippocoleae,2919380674,microaerophile
22902,2698,"DSM 26142, CCM 8430, LMG 27073, CIP 110543",1,Arcanobacterium phocisimile,1302235.3,microaerophile
,,,,,GCA_016904675,
202,M430/94/2,"DSM 13483, CCUG 42575, CIP 106442",1,Arcanobacterium pluranimalium,108028.3,microaerophile
,,,,,2893686931,
,,,,,GCA_016907845,
2094,D2686,"DSM 8739, ATCC 49616, CDC D2686, LMG 10828, WDCM 00065, CCUG 30485, NCTC 12481, RM 4018, JCM 31724, CECT 8221, CIP 103493",1,Arcobacter butzleri,2799112925,microaerophile
,,,,,28197.218,
,,,,,28197.59,
,,,,,28197.75,
,,,,,367737.6,
,,,,,640753004,
,,,,,GCA_000014025,
,,,,,GCA_014648215,
,,,,,GCA_024584145,
,,,,,GCA_900187115,
158655,F138-33,"CECT 8984, LMG 29148, CIP 111615",1,Arcobacter canalis,1912871.9,microaerophile
,,,,,2888026065,
,,,,,GCA_002723485,
,,,,,GCA_008000835,
2096,KH-2,"DSM 17680, CCUG 48482, LMG 21996, CIP 108697, CECT 7203",1,Arcobacter cibarius,1442598.4,microaerophile
,,,,,255507.13,
,,,,,255507.9,
,,,,,2576861106,
,,,,,GCA_000522465,
,,,,,GCA_005818875,
,,,,,GCA_013372265,
2091,"A169/B, 02766","DSM 7289, ATCC 43158, CCUG 17801, LMG 7536, NCTC 11885, WDCM 00066, MCCM 00660, CIP 104014, LMG 9904, CCM 3933",1,Arcobacter cryaerophilus,1032070.4,microaerophile
,,,,,1032070.5,
,,,,,2847260338,
,,,,,GCA_003660105,
,,,,,GCA_006165035,
143214,,"CCUG 17802, LMG 9861",0,Arcobacter cryaerophilus,28198.57,microaerophile
,,,,,2871076796,
,,,,,GCA_002993065,
22945,SW28-11,"DSM 25359, CECT 7697, LMG 25694, JCM 33356",1,Arcobacter defluvii,2854854714,microaerophile
,,,,,873191.8,
,,,,,873191.9,
,,,,,GCA_004115775,
,,,,,GCA_013201725,
156895,,"CCUG 66484, LMG 28519",1,Arcobacter faecis,1564138.11,microaerophile
,,,,,GCA_013201705,
,,,,,GCA_024584135,
2097,LA31B,"CCUG 53805, DSM 18005, ATCC BAA-1022, CIP 108450",1,Arcobacter halophilus,197482.1,microaerophile
,,,,,197482.6,
,,,,,2847264534,
,,,,,2873824862,
,,,,,GCA_002837275,
,,,,,GCA_003346755,
156896,,"CCUG 66485, LMG 28516",1,Arcobacter lanthieri,1355374.14,microaerophile
,,,,,GCA_013201625,
,,,,,GCA_024584095,
132928,,"DSM 100870, CECT 8942, LFT 1.7",1,Arcobacter lekithochrous,1904463.13,microaerophile
,,,,,GCA_013283835,
2098,F2075,"DSM 23625, CECT 7386, LMG 24559, CIP 110066",1,Arcobacter mytili,1032238.5,microaerophile
,,,,,1032238.6,
,,,,,2795385496,
,,,,,2871078930,
,,,,,GCA_003346775,
,,,,,GCA_004116555,
2092,CI,"CCUG 15892, CECT 7204, DSM 7299, ATCC 33309, CCUG 15893, LMG 7604, NCTC 12251, JCM 33357, CIP 103745",1,Arcobacter nitrofigilis,572480.3,microaerophile
,,,,,646564506,
,,,,,GCA_000092245,
155204,,"CCUG 56899, LMG 24487",1,Arcobacter porcinus,1935204.7,microaerophile
,,,,,2836935145,
,,,,,544718.48,
,,,,,GCA_004299785,
,,,,,GCA_024584075,
2095,"WCDM 00067, 449/80","DSM 7302, ATCC 51132, CCUG 10374, LMG 6621, WRI 449/80, JCM 33358, CIP 103538, CIP 103588, NCTC 12713, WDCM 00067, CECT 8223, CIP 1035838T",1,Arcobacter skirrowii,1032239.3,microaerophile
,,,,,1032239.4,
,,,,,1032239.5,
,,,,,2814123187,
,,,,,28200.27,
,,,,,2843847787,
,,,,,2873822735,
,,,,,GCA_003544835,
,,,,,GCA_004115735,
,,,,,GCA_008802155,
2099,strain 16389,"DSM 23385, CCUG 56902, LMG 24486",1,Arcobacter thereius,1032240.3,microaerophile
,,,,,1032240.8,
,,,,,2876158629,
,,,,,544718.59,
,,,,,GCA_001695395,
,,,,,GCA_004214815,
,,,,,GCA_005818985,
,,,,,GCA_024584025,
2101,"64, 64/2-45d5/R-39974","DSM 25469, LMG 25534, CCUG 59229, CIP 110286",1,Arcobacter trophiarum,1032241.5,microaerophile
,,,,,1032241.6,
,,,,,2847262524,
,,,,,2858249781,
,,,,,GCA_003355515,
,,,,,GCA_004116585,
,,,,,GCA_024584015,
6241,Kis4-19,"DSM 22760, NBRC 105830, CCUG 63821",1,Arsenicicoccus piscis,GCA_022568835,microaerophile
132997,PP-CE-2G-454,"DSM 102238, CCM 8665, LMG 29411, CIP 111015",1,Aureimonas pseudogalii,1744844.3,microaerophile
,,,,,2829993952,
,,,,,GCA_014196835,
11692,P913,"DSM 17481, ATCC 13361, NCTC 11188, CCUG 12391, CIP 102676",1,Avibacterium gallinarum,2799112277,microaerophile
,,,,,2840382936,
,,,,,2842988149,
,,,,,755.5,
,,,,,755.6,
,,,,,755.7,
,,,,,GCA_002921135,
,,,,,GCA_004362535,
,,,,,GCA_900454485,
11694,,"DSM 18554, CCM 6075, CCUG 12835, CIP 103453, HIM 668-7, ATCC 29545, NCTC 11296, IPDH 2403",1,Avibacterium paragallinarum,2823233258,microaerophile
,,,,,2837414230,
,,,,,728.107,
,,,,,728.9,
,,,,,GCA_002921155,
,,,,,GCA_900450705,
