ID,Species,"Culture collection number","Isolation source",Country,Continent,"Category 1","Category 2","Category 3"
159709,"Acidicapsa dinghuensis","CGMCC 1.15449, LMG 29213","upper layer of forest soil (0-25 cm)",China,Asia,#Environmental,#Terrestrial,#Soil
159709,,,,,,#Environmental,#Terrestrial,#Forest
133053,"Acidicapsa ferrireducens","DSM 28997, NCCB 100575, MCF 9","acidic metal-mine pit lake",Spain,Europe,#Condition,#Acidic,
133053,,,,,,#Environmental,#Aquatic,"#Lake (large)"
133053,,,,,,#Engineered,#Other,#Mine
158294,"Acidiferrobacter sp.","DSM 27195","surface exposed pyrite vein",Spain,Europe,#Environmental,#Terrestrial,#Geologic
4303,"Acidiferrobacter thiooxydans","DSM 2392, JCM 17358","Forty-year-old coal refuse, Bevier coal seam###coal strip mine refuse",USA,"North America",#Environmental,#Terrestrial,#Geologic
4303,,,,,,#Engineered,#Waste,"#Solid waste"
4303,,,,,,#Engineered,#Other,#Mine
4303,,,,,,#Environmental,#Terrestrial,#Geologic
4303,,,,,,#Engineered,#Waste,"#Solid waste"
4303,,,,,,#Engineered,#Other,#Mine
6149,"Acidihalobacter aeolianus","DSM 14174, JCM 32253","shallow pools of acidic, salty water in Vulcano###Acidic, salty water, Vulcano###acidic, salty water",Italy,Europe,#Condition,#Saline,
6149,,,,,,#Condition,#Acidic,
6149,,,,,,#Environmental,#Aquatic,
6149,,,,,,#Condition,#Saline,
6149,,,,,,#Condition,#Acidic,
6149,,,,,,#Environmental,#Aquatic,
6149,,,,,,#Condition,#Saline,
6149,,,,,,#Condition,#Acidic,
6149,,,,,,#Environmental,#Aquatic,
24820,"Acidihalobacter ferrooxydans","DSM 14175, JCM 32254","shallow pools of acidic, salty water in Vulcano###Acidic, salty water, Vulcano###acidic, salty water",Italy,Europe,#Condition,#Saline,
24820,,,,,,#Condition,#Acidic,
24820,,,,,,#Environmental,#Aquatic,
24820,,,,,,#Condition,#Saline,
24820,,,,,,#Condition,#Acidic,
24820,,,,,,#Environmental,#Aquatic,
24820,,,,,,#Condition,#Saline,
24820,,,,,,#Condition,#Acidic,
24820,,,,,,#Environmental,#Aquatic,
6148,"Acidihalobacter prosperus","DSM 5130, JCM 30709","Shallow geothermally heated seafloor at the beach of Porto di Levante###geothermally heated sea sediment",Italy,Europe,#Environmental,#Aquatic,#Sediment
6148,,,,,,#Environmental,#Aquatic,#Marine
6148,,,,,,#Environmental,#Aquatic,#Sediment
6148,,,,,,#Environmental,#Aquatic,#Marine
17799,"Acidilobus aceticus","DSM 11585, ATCC BAA-268, JCM 11320","Acidic hot spring of the Moutnovski volcano###acidic hot spring",Russia,Asia,#Condition,"#Thermophilic (>45°C)",
17799,,,,,,#Condition,#Acidic,
17799,,,,,,#Environmental,#Aquatic,"#Thermal spring"
17799,,,,,,#Condition,"#Thermophilic (>45°C)",
17799,,,,,,#Condition,#Acidic,
17799,,,,,,#Environmental,#Aquatic,"#Thermal spring"
17800,"Acidilobus saccharovorans","DSM 16705, JCM 18335, VKM B-2471","Hot acidic pool in the Orange Thermal Field of Uzon Caldera###mixture of water and mud from an acidic terrestrial hot pool",Russia,Asia,#Condition,"#Thermophilic (>45°C)",
17800,,,,,,#Condition,#Acidic,
17800,,,,,,#Environmental,#Terrestrial,"#Mud (Sludge)"
17800,,,,,,#Environmental,#Aquatic,
17800,,,,,,#Condition,"#Thermophilic (>45°C)",
17800,,,,,,#Condition,#Acidic,
17800,,,,,,#Environmental,#Terrestrial,"#Mud (Sludge)"
17800,,,,,,#Environmental,#Aquatic,
106,"Acidimicrobium ferrooxidans","DSM 10331, NBRC 103882, JCM 15462","Icelandic geothermal site###warm,acidic,iron-,sulphur-or mineral-sulphide-rich environments###hot spring run-off",Iceland,Europe,#Condition,#Sulfuric,
106,,,,,,#Condition,#Acidic,
106,,,,,,#Environmental,#Aquatic,"#Thermal spring"
106,,,,,,#Condition,"#Thermophilic (>45°C)",
106,,,,,,#Condition,#Sulfuric,
106,,,,,,#Condition,#Acidic,
106,,,,,,#Environmental,#Aquatic,"#Thermal spring"
106,,,,,,#Condition,"#Thermophilic (>45°C)",
